aluno,nota1,nota2,nota3
Hizmgwguff,3.8,0,0
Kbjhjcmweypsmxvqjrcpkbkbnpnbckymzedxaoak,7.5,0,0
Uhgsoqmrwvulksldndcpzadciyciknlylxlp,1.1,0,0
Asnlwtnfzphpyd,0,0,9.5
Ezqabzhtllobuma,0,0,9.3
Pmykwgfedw,0,0,9.3
Fcaojmgvnkujywdszebzssivaxgxzqisfhsehaiodfnzpcbh,0,0,9.4
Qumx,0,0,9.8
Aqdazoxfdvioffifm,0,0,9.7
Gnlthjnhipeurtnbr,0,0,9.7
Anmkfjxacqkfgemunshmowzukhqzbompzhmxjjiixcnqs,0.1,1.3,10.0
Edblkeshgl,0.1,3.8,10.0
Tjrezivzvjxm,0.1,4.7,10.0
Uliklxm,0.1,6.9,10.0
Teesciwciacrpjovtviwfvtnuibiragylvq,0.1,8.8,10.0
Pwfccaqmihhzevtosfvokleirrdpaihcuigqa,0.1,7.9,10.0
Locsprywhysnizkvhykuyxqc,0.0,8.1,10.0
Yyqdpemwjnkesdqasxyuajbrfpfjibdngizefuyfqhjb,0.0,2.6,9.9
Zfklmxdeokolfwyoyzifvp,0.0,3.3,9.9
Vfscctszedcdtqzciowrqwktgyrelgzzqbscq,0.0,9.4,10.0
Olmjlndxkaxpwlgajoebqrxlkyviwt,0.1,1.9,10.0
Mycvqotroafwkhwjwmjmyrejrxj,0.0,3.3,9.9
Toflddvedob,0.0,9.5,9.9
Tivkgajeoyzirlwkozwzqnflx,0.1,4.1,10.0
